	TH-1	TH-2	TH-3	T-1	T-2	T-3	pvalue	log2FC	UPDOWN
BraA04002301	40	46	50	29	48	18	0.25518861097027	0.517607232919392	Not sig
BraA04002302	285.82	247.78	311.96	152.94	205.34	164.1	0.0123864884284406	0.694807467828545	Not sig
BraA04002303	35	18	31	165	159	182	0.000138156976330518	-2.59067615191555	Down
BraA04002304	313.18	265.63	363.04	158.06	209.66	158.9	0.0202996564466973	0.838734999869005	Not sig
BraA04002307	300	284	283	258	252	269	0.0171314138738945	0.154408665160166	Not sig
BraA04002309	5	1	6	6	6	5	0.389698254292883	-0.502500340529183	Not sig
BraA04002318	554	619	515	631	946	1135	0.140835930560684	-0.684042274429159	Not sig
BraA04002319	12	10	8	305	416	495	0.0188454240875251	-5.34103691783507	Down
BraA04002320	61	63	60	55	76	82	0.358870131240326	-0.211147664168825	Not sig
BraA04002321	48	44	60	20	17	13	0.0101784033475287	1.60407132366886	Up
BraA04002324	2.17	4	9.52	1	3.09	2	0.281985953032459	1.36533121906177	Not sig
BraA04002325	0.005	1	0.005	1	1	1	0.183503419072274	-1.57060720774409	Not sig
BraA04002327	0.5	12	1	0.005	0.005	0.005	0.353700145552559	9.81378119121704	Not sig
BraA04002328	0.5	12	1	0.005	0.005	0.005	0.353700145552559	9.81378119121704	Not sig
BraA04002331	1	0.005	0.005	50	104	75	0.039606213007632	-7.82484849511987	Down
BraA04002332	39	34	38	57	64	79	0.0386128173837335	-0.849440323424619	Not sig
BraA04002333	96	73	73	144	219	204	0.0315800305706922	-1.22834168766763	Down
BraA04002334	46	61	42	157	182	216	0.00952033549724961	-1.89717544077531	Down
BraA04002335	7.83	5	6.48	3	1.91	3	0.0281455814019008	1.28759856447786	Up
BraA04002336	27	17	29	26	54	28	0.327309217000924	-0.565062943283451	Not sig
BraA04002337	15	30	23	6	0.005	3	0.0317025100701493	2.91673656511879	Up
BraA04002338	55	67	54	49	43	66	0.505932777128559	0.155650870460194	Not sig
BraA04002339	15	17	18	66	106	144.17	0.0588193299303485	-2.66070048311523	Not sig
BraA04002340	48	36	59	264	336	539.83	0.0557351322000542	-2.99473161749691	Not sig
BraA04002345	16	25	17	21	32	20	0.359589924672981	-0.331843563752445	Not sig
BraA04002347	11	29	14	8	13	21	0.588467963451042	0.362570079384708	Not sig
BraA04002349	21	26	34	96	138	108	0.0139187465186546	-2.07800251200127	Down
BraA04002350	50	66	86	2	3	0.005	0.0235698768919	5.33484141369053	Up
BraA04002351	29	24	47	18	22	30	0.29229662746394	0.514573172829758	Not sig
BraA04002353	34	42	41	26	25	27	0.0302352257146547	0.584962500721156	Not sig
BraA04002354	1	1	3	0.005	0.005	0.005	0.130246893897356	8.38082178394093	Not sig
BraA04002360	1	0.005	0.005	1	3	1	0.174147767015198	-2.30757280191029	Not sig
BraA04002365	9	8	20	0.005	1	1	0.0925246338741169	4.20585112894875	Not sig
BraA04002369	76	77	75	59	73	60	0.114668116064091	0.247927513443585	Not sig
BraA04002373	5	0.005	4	434	375	510	0.00783902058251598	-7.19450257311999	Down
BraA04002375	2	0.005	3	7	6	5	0.0197634904331693	-1.84655493238104	Down
BraA04002376	494	357	479	376	348	358	0.193527148692332	0.297725746561736	Not sig
BraA04002377	0.005	0.005	0.005	349	550	364	0.0227761728874645	-16.3615326128411	Down
BraA04002378	0.005	0.005	0.005	60	83	82	0.00986813423656195	-13.8726748802706	Down
BraA04002379	0.005	0.005	0.005	2	4	7	0.0966291998912722	-9.75933340719466	Not sig
BraA04002383	3	6	2	3	5	4	0.819371647158367	-0.125530882083859	Not sig
BraA04002385	0.5	0.5	0.005	5	2.5	5.5	0.04605042742157	-3.69324421673689	Down
BraA04002387	0.5	0.5	0.005	5	2.5	5.5	0.04605042742157	-3.69324421673689	Down
BraA04002392	2	0.005	1	28	44	39	0.0156951472906565	-5.20705087541365	Down
BraA04002393	0.005	0.005	0.005	2	2	0.005	0.183503419072274	-8.06069593168755	Not sig
BraA04002395	43	45	31	34	45	34	0.744134233321021	0.0746388008927559	Not sig
BraA04002396	1395	1189	1594	863	1151	944	0.0536250554546484	0.498190439968041	Not sig
BraA04002398	17	22	32	18	21	26	0.715027973026498	0.127379306476227	Not sig
BraA04002402	225	203	213	221	332	279	0.181366746613248	-0.376259171522351	Not sig
BraA04002403	0.005	3	1	163	147	158	0.000654342162483339	-6.86856247694942	Down
BraA04002405	32	37	39	8	9	9	0.00485166093746558	2.05444778402238	Up
BraA04002408	1	7	1	0.005	5	6	0.818541204218803	-0.29016223867452	Not sig
BraA04002412	14	10	5	48	45	71	0.023317780764719	-2.49957100949051	Down
BraA04002413	251	237	203	223	257	192	0.802338267879356	0.0402244776094983	Not sig
BraA04002414	1	0.005	9	0.005	0.005	0.005	0.362672325087269	9.38154295118458	Not sig
BraA04002415	21	9	26	1	0.005	2	0.0709333948319765	4.21998993112114	Not sig
BraA04002416	14	12	2	42.31	34	60.48	0.027254134602847	-2.2884640339224	Down
